"","check_in_date","over_nbookings","over_canceled","over_booking_arrivals","over_same_phat","over_canceled_same_p","over_booking_arrivals_phat","booking_n","booking_canceled","booking_arrivals","iter"
"1",2017-03-25,149,61,88,129,64,88,100,44,56,1
"2",2017-03-26,127,44,83,129,34,83,100,28,72,1
"3",2017-03-27,122,16,106,129,23,106,100,22,78,1
"4",2017-03-28,125,32,93,129,24,93,100,18,82,1
"5",2017-03-29,120,20,100,129,32,100,100,14,86,1
"6",2017-03-30,151,62,89,129,53,89,100,40,60,1
"7",2017-03-31,152,64,88,129,62,88,100,52,48,1
"8",2017-04-01,126,47,79,129,65,79,100,36,64,1
"9",2017-04-02,126,22,104,129,23,104,100,19,81,1
"10",2017-04-03,151,70,81,129,54,81,100,35,65,1
"11",2017-04-04,212,143,69,129,90,69,100,60,40,1
"12",2017-04-05,156,75,81,129,61,81,100,46,54,1
"13",2017-04-06,222,149,73,129,79,73,100,56,44,1
"14",2017-04-07,126,57,69,129,59,69,100,44,56,1
"15",2017-04-08,131,73,58,129,57,58,100,52,48,1
"16",2017-04-09,158,76,82,129,70,82,100,54,46,1
"17",2017-04-10,127,56,71,129,45,71,100,37,63,1
"18",2017-04-11,128,34,94,129,27,94,100,26,74,1
"19",2017-04-12,132,57,75,129,56,75,100,44,56,1
"20",2017-04-13,144,74,70,129,63,70,100,60,40,1
"21",2017-04-14,126,60,66,129,62,66,100,43,57,1
"22",2017-04-15,163,108,55,129,72,55,100,68,32,1
"23",2017-04-16,141,69,72,129,68,72,100,53,47,1
"24",2017-04-17,127,52,75,129,45,75,100,31,69,1
"25",2017-04-18,134,51,83,129,56,83,100,53,47,1
"26",2017-04-19,122,28,94,129,38,94,100,24,76,1
"27",2017-04-20,144,65,79,129,59,79,100,51,49,1
"28",2017-04-21,171,102,69,129,84,69,100,49,51,1
"29",2017-04-22,245,179,66,129,95,66,100,68,32,1
"30",2017-04-23,164,71,93,129,54,93,100,49,51,1
"31",2017-04-24,125,27,98,129,37,98,100,23,77,1
"32",2017-04-25,142,48,94,129,37,94,100,40,60,1
"33",2017-04-26,248,187,61,129,98,61,100,75,25,1
"34",2017-04-27,160,84,76,129,61,76,100,47,53,1
"35",2017-04-28,126,54,72,129,51,72,100,36,64,1
"36",2017-04-29,148,87,61,129,78,61,100,55,45,1
"37",2017-04-30,126,36,90,129,42,90,100,32,68,1
"38",2017-05-01,145,70,75,129,64,75,100,39,61,1
"39",2017-05-02,124,41,83,129,33,83,100,25,75,1
"40",2017-05-03,182,133,49,129,87,49,100,67,33,1
"41",2017-05-04,191,118,73,129,81,73,100,60,40,1
"42",2017-05-05,141,71,70,129,62,70,100,50,50,1
"43",2017-05-06,166,95,71,129,72,71,100,57,43,1
"44",2017-05-07,126,44,82,129,47,82,100,41,59,1
"45",2017-05-08,145,84,61,129,78,61,100,56,44,1
"46",2017-05-09,144,51,93,129,48,93,100,36,64,1
"47",2017-05-10,133,58,75,129,59,75,100,44,56,1
"48",2017-05-11,137,59,78,129,54,78,100,39,61,1
"49",2017-05-12,130,57,73,129,52,73,100,46,54,1
"50",2017-05-13,154,76,78,129,67,78,100,39,61,1
"51",2017-05-14,116,26,90,129,18,90,100,14,86,1
"52",2017-05-15,248,192,56,129,103,56,100,74,26,1
"53",2017-05-16,129,54,75,129,65,75,100,54,46,1
"54",2017-05-17,124,39,85,129,35,85,100,41,59,1
"55",2017-05-18,131,53,78,129,53,78,100,36,64,1
"56",2017-05-19,240,179,61,129,98,61,100,75,25,1
"57",2017-05-20,148,83,65,129,65,65,100,55,45,1
"58",2017-05-21,125,41,84,129,47,84,100,41,59,1
"59",2017-05-22,128,47,81,129,45,81,100,36,64,1
"60",2017-05-23,140,49,91,129,39,91,100,29,71,1
"61",2017-05-24,133,65,68,129,70,68,100,48,52,1
"62",2017-05-25,158,62,96,129,62,96,100,38,62,1
"63",2017-05-26,143,75,68,129,58,68,100,36,64,1
"64",2017-05-27,130,56,74,129,53,74,100,34,66,1
"65",2017-05-28,173,87,86,129,62,86,100,49,51,1
"66",2017-05-29,128,39,89,129,31,89,100,26,74,1
"67",2017-05-30,232,156,76,129,84,76,100,70,30,1
"68",2017-05-31,142,57,85,129,58,85,100,39,61,1
"69",2017-06-01,158,79,79,129,59,79,100,54,46,1
"70",2017-06-02,150,61,89,129,64,89,100,43,57,1
"71",2017-06-03,154,59,95,129,54,95,100,50,50,1
"72",2017-06-04,151,51,100,129,56,100,100,40,60,1
"73",2017-06-05,123,33,90,129,43,90,100,32,68,1
"74",2017-06-06,132,49,83,129,44,83,100,29,71,1
"75",2017-06-07,174,92,82,129,78,82,100,45,55,1
"76",2017-06-08,191,118,73,129,91,73,100,71,29,1
"77",2017-06-09,162,80,82,129,56,82,100,53,47,1
"78",2017-06-10,125,43,82,129,44,82,100,33,67,1
"79",2017-06-11,140,58,82,129,37,82,100,47,53,1
"80",2017-06-12,149,65,84,129,45,84,100,40,60,1
"81",2017-06-13,141,46,95,129,45,95,100,34,66,1
"82",2017-06-14,176,73,103,129,41,103,100,45,55,1
"83",2017-06-15,148,54,94,129,47,94,100,44,56,1
"84",2017-06-16,148,64,84,129,61,84,100,49,51,1
"85",2017-06-17,214,135,79,129,82,79,100,71,29,1
"86",2017-06-18,130,40,90,129,41,90,100,35,65,1
"87",2017-06-19,158,77,81,129,52,81,100,45,55,1
"88",2017-06-20,130,53,77,129,49,77,100,41,59,1
"89",2017-06-21,168,90,78,129,70,78,100,59,41,1
"90",2017-06-22,127,43,84,129,45,84,100,30,70,1
"91",2017-06-23,167,83,84,129,67,84,100,43,57,1
"92",2017-06-24,161,79,82,129,51,82,100,53,47,1
"93",2017-06-25,146,21,125,129,13,125,100,13,87,1
"94",2017-06-26,166,86,80,129,61,80,100,53,47,1
"95",2017-06-27,141,65,76,129,55,76,100,56,44,1
"96",2017-06-28,152,69,83,129,74,83,100,56,44,1
"97",2017-06-29,129,63,66,129,60,66,100,54,46,1
"98",2017-06-30,153,66,87,129,52,87,100,48,52,1
"99",2017-07-01,149,58,91,129,41,91,100,36,64,1
"100",2017-07-02,132,39,93,129,51,93,100,41,59,1
"101",2017-07-03,136,45,91,129,44,91,100,33,67,1
"102",2017-07-04,153,29,124,129,29,124,100,21,79,1
"103",2017-07-05,143,82,61,129,75,61,100,60,40,1
"104",2017-07-06,130,37,93,129,36,93,100,28,72,1
"105",2017-07-07,135,65,70,129,61,70,100,40,60,1
"106",2017-07-08,134,39,95,129,44,95,100,37,63,1
"107",2017-07-09,154,71,83,129,64,83,100,41,59,1
"108",2017-07-10,130,48,82,129,52,82,100,29,71,1
"109",2017-07-11,134,41,93,129,51,93,100,42,58,1
"110",2017-07-12,169,63,106,129,51,106,100,36,64,1
"111",2017-07-13,151,37,114,129,30,114,100,28,72,1
"112",2017-07-14,133,49,84,129,54,84,100,44,56,1
"113",2017-07-15,136,59,77,129,40,77,100,34,66,1
