pred_probs_arrivals,mean_p_arrivals,capacity_arrivals,trial,date
80.0,88.0,67.0,0,2016-10-31
101.0,97.0,67.0,0,2016-11-04
96.0,96.0,78.0,0,2016-11-07
92.0,92.0,72.0,0,2016-11-14
66.0,66.0,40.0,0,2016-11-13
91.0,94.0,72.0,0,2016-11-10
90.0,96.0,73.0,0,2016-10-30
88.0,90.0,64.0,0,2016-11-15
76.0,52.0,41.0,0,2016-11-21
104.0,101.0,85.0,0,2016-11-03
91.0,93.0,74.0,0,2016-11-11
78.0,86.0,67.0,0,2016-11-16
89.0,70.0,57.0,0,2016-11-09
90.0,86.0,72.0,0,2016-11-12
92.0,93.0,68.0,0,2016-11-19
86.0,105.0,78.0,0,2016-11-28
75.0,76.0,59.0,0,2016-11-30
90.0,76.0,56.0,0,2016-11-24
94.0,93.0,66.0,0,2016-11-17
78.0,48.0,36.0,0,2016-12-02
87.0,78.0,57.0,0,2016-12-05
74.0,54.0,50.0,0,2016-11-02
80.0,76.0,71.0,0,2016-11-22
87.0,89.0,67.0,0,2016-12-06
89.0,59.0,46.0,0,2016-12-07
78.0,67.0,38.0,0,2016-12-12
83.0,62.0,61.0,0,2016-12-14
82.0,93.0,65.0,0,2016-11-01
90.0,93.0,75.0,0,2016-11-23
94.0,99.0,80.0,0,2016-12-01
92.0,76.0,60.0,0,2016-11-08
85.0,98.0,79.0,0,2016-11-29
89.0,65.0,44.0,0,2016-12-13
99.0,93.0,76.0,0,2016-12-03
86.0,83.0,71.0,0,2016-12-19
98.0,75.0,60.0,0,2016-12-16
76.0,47.0,43.0,0,2016-12-21
78.0,86.0,67.0,0,2016-12-15
98.0,85.0,67.0,0,2016-12-20
81.0,82.0,69.0,0,2016-12-11
93.0,86.0,63.0,0,2016-12-18
71.0,49.0,31.0,0,2016-12-09
79.0,81.0,61.0,0,2016-12-10
96.0,90.0,74.0,0,2016-12-28
84.0,75.0,57.0,0,2016-11-06
89.0,78.0,64.0,0,2016-11-27
100.0,88.0,67.0,0,2016-11-18
82.0,94.0,67.0,0,2016-11-20
101.0,85.0,70.0,0,2016-12-29
95.0,87.0,66.0,0,2017-01-01
77.0,68.0,65.0,0,2016-12-26
87.0,97.0,72.0,0,2017-01-04
88.0,90.0,60.0,0,2016-12-23
97.0,96.0,84.0,0,2016-11-26
90.0,77.0,58.0,0,2017-01-10
88.0,78.0,68.0,0,2017-01-11
81.0,87.0,68.0,0,2017-01-09
77.0,77.0,67.0,0,2017-01-06
92.0,91.0,66.0,0,2017-01-03
78.0,62.0,56.0,0,2016-12-27
99.0,88.0,72.0,0,2016-12-30
100.0,87.0,72.0,0,2017-01-16
80.0,89.0,66.0,0,2017-01-12
89.0,100.0,67.0,0,2017-01-17
90.0,88.0,63.0,0,2016-12-04
